customer_id,order_id,order_details_id,product_id,customer_name,customer_segment,product_category,product_name,product_manufacturer,product_subcategory,quantity,order_date,Month,Year,shipping_city,shipping_state,shipping_region,shipping_country,shipping_postal_code,shipping_date,shipping_mode,order_discount,order_profit_ratio,order_profits,order_sales,Month-Year,,Top 10 profitable customers,,,Top 5 profitable subcategories,
199,CA-2015-103800,121,1088,Darren Powers,Consumer,Office Supplies,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Message Book,Paper,2,1/3/2015,1,2015,Houston,Texas,Central,United States,77095,1/7/2015,Standard Class,20.00%,34.00%,$6,$16,Jan-2015,,,sum ,,,sum 
612,CA-2015-112326,333,709,Phillina Ober,Home Office,Office Supplies,GBC Standard Plastic Binding Systems Combs,GBC,Binders,2,1/4/2015,1,2015,Naperville,Illinois,Central,United States,60540,1/8/2015,Standard Class,80.00%,-155.00%,-$5,$4,Jan-2015,,Sanjit Chand,"$5,461",,Phones,"$11,806"
612,CA-2015-112326,334,218,Phillina Ober,Home Office,Office Supplies,Avery 508,Avery,Labels,3,1/4/2015,1,2015,Naperville,Illinois,Central,United States,60540,1/8/2015,Standard Class,20.00%,36.00%,$4,$12,Jan-2015,,Tom Boeckenhauer,"$2,567",,Accessories,"$7,800"
612,CA-2015-112326,335,1373,Phillina Ober,Home Office,Office Supplies,SAFCO Boltless Steel Shelving,SAFCO,Storage,3,1/4/2015,1,2015,Naperville,Illinois,Central,United States,60540,1/8/2015,Standard Class,20.00%,-24.00%,-$65,$273,Jan-2015,,Nathan Mautz,"$2,414",,Chairs,"$7,526"
538,CA-2015-141817,1052,251,Mick Brown,Consumer,Office Supplies,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Avery,Art,3,1/5/2015,1,2015,Philadelphia,Pennsylvania,East,United States,19143,1/12/2015,Standard Class,20.00%,25.00%,$5,$20,Jan-2015,,John Lee,"$1,712",,Paper,"$6,633"
342,CA-2015-106054,182,522,Jack O'Briant,Corporate,Office Supplies,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Dixon,Art,3,1/6/2015,1,2015,Athens,Georgia,South,United States,30605,1/7/2015,First Class,0.00%,41.00%,$5,$13,Jan-2015,,Darrin Martin,"$1,599",,Binders,"$4,824"
481,CA-2015-130813,797,1830,Lycoris Saunders,Consumer,Office Supplies,Xerox 225,Xerox,Paper,3,1/6/2015,1,2015,Los Angeles,California,West,United States,90049,1/8/2015,Second Class,0.00%,48.00%,$9,$19,Jan-2015,,Mitch Willingham,"$1,449",,,
487,CA-2015-167199,1608,1360,Maria Etezadi,Home Office,Office Supplies,Rogers Handheld Barrel Pencil Sharpener,Rogers,Art,2,1/6/2015,1,2015,Henderson,Kentucky,South,United States,42420,1/10/2015,Standard Class,0.00%,27.00%,$1,$5,Jan-2015,,Maria Etezadi,"$1,342",,,
487,CA-2015-167199,1609,1478,Maria Etezadi,Home Office,Office Supplies,Southworth 25% Cotton Granite Paper & Envelopes,Southworth,Paper,1,1/6/2015,1,2015,Henderson,Kentucky,South,United States,42420,1/10/2015,Standard Class,0.00%,46.00%,$3,$7,Jan-2015,,John Murray,"$1,228",,,
487,CA-2015-167199,1610,121,Maria Etezadi,Home Office,Office Supplies,"Alliance Super-Size Bands, Assorted Sizes",Alliance,Fasteners,4,1/6/2015,1,2015,Henderson,Kentucky,South,United States,42420,1/10/2015,Standard Class,0.00%,1.00%,$0,$31,Jan-2015,,Mitch Webber,"$1,204",,,
